site,E_bind_neutral_eV,E_bind_doped_eV,delta_doped_minus_neutral_eV
SO3 O-O bidentate,-2.508,-3.278,-0.770
side-chain ether O,-2.878,-2.930,-0.052
EDOT O-O chelate,-1.606,-3.363,-1.758
"# SDCP v7c + Li+ site binding (local ORCA r2SCAN-3c Opt TightSCF, gas monomer; charge +1, neutral mult 1 / doped mult 2)."
"# E_bind = E(mol+Li+) - E(mol) - E(Li+); refs: E(Li+) = -7.281558 Eh, E(neutral) = -1676.256250, E(doped) = -1675.600576 Eh."
"# Jobs: ~/orca_li on DESKTOP-K1BLBIJ (li_ref + 6 site opts), completed 2026-07-11; placements max-min clearance searched."
"# ==== VERDICT (v7c re-test of report p.6 Li-hopping claims) ===="
"#   1. doped binds Li+ STRONGER at every site (Delta -0.05..-1.76 eV); champion = EDOT O,O-chelate -3.363 ~ SO3"
"#      bidentate -3.278 -> the O,O-chelate (bidentate) motif carries the binding, as in the old-structure O2S story."
"#   2. LANDSCAPE FLATNESS (hopping metric): site-to-site spread doped 0.43 eV vs neutral 1.27 eV (3x flatter)."
"#      Doped offers three comparable O-sites (-2.9..-3.4) = connected hopping pathway; neutral funnels Li into the"
"#      single ether site (-2.88) with SO3H weak (-2.51) and EDOT far (-1.61) = rugged/insulating-like landscape."
"#   3. Reading: doping turns the side chain into a sequence of near-degenerate Li+ O-sites -> supports 'Li hopping"
"#      activated, ionic conduction not blocked' (report p.6) at the v7c level; neutral = poor-connectivity carrier."
"# CAVEATS: gas-phase monomer + bare Li+ (no SE counter-charge/environment); single conformer per site; site labels"
"#   = STARTING placements (Opt may relocate Li -- final coordination check pending); absolute ~3 eV values are"
"#   gas-phase ion-molecule scale, only DIFFERENCES/spread are meaningful. Stage-2 (relaxed site-to-site scan for"
"#   actual hopping barriers) designed, launch on demand."
"# H->SURFACE TRANSFER SCREEN (2026-07-11, UMA-relaxed clean-slab complexes): in ALL SIX neutral orientations --"
"#   including sulfonate_down where the SO3H group is pressed onto the LiNiO2(104) surface -- the acidic H keeps"
"#   O-H 0.98-0.99 A and has NO surface O within 3.5 A (relaxation rotates the O-H away from the surface)."
"#   => no static precursor (not even a hydrogen bond) for direct proton transfer to the oxide; a proton-transfer MD"
"#   has low prior and is deprioritized. Operando SO3Li formation is therefore attributed to ION EXCHANGE with the"
"#   Li+ reservoir (electrolyte/SE), whose molecular energetics = the DPE/LCA jobs (so3li/anion, local ORCA, running)."
"# H<->Li EXCHANGE ENERGETICS (2026-07-11, local ORCA r2SCAN-3c opt; so3li + anion jobs, refs above):"
"#   DPE  (SO3H -> SO3- + H+)          = +14.173 eV   (alkanesulfonic-acid literature range ~14.0 -> sanity OK)"
"#   LCA  (SO3- + Li+ -> SO3Li)        =  -6.755 eV   (huge: once deprotonated, the sulfonate LOCKS Li+)"
"#   EXCH (SO3H + Li+ -> SO3Li + H+)   =  +7.418 eV vs BARE proton (= DPE - LCA, internal check passed)"
"#   EA   (doped radical + e- -> anion)=  +3.669 eV   (radical is a strong e- acceptor; links self-doped <-> SO3- forms)"
"# KEY QUANTITATIVE READING -- the exchange bill is paid by ANY proton acceptor:"
"#   PA(H2O) = 7.16 eV  -> exchange with one water acceptor:  +7.42 - 7.16 = +0.26 eV (near-thermoneutral)"
"#   PA((H2O)2) = 8.37 eV -> with two waters:                 +7.42 - 8.37 = -0.95 eV (downhill)"
"#   + bulk hydration of H3O+ / SE-surface bases push it further exothermic => in any humid or Li+-rich real"
"#   environment SO3H converts to SO3Li (or ionized SO3-), consistent with (i) the absent O-H in ambient FTIR,"
"#   (ii) the H-form-vs-ionized reconciliation (stoichiometric H present, covalent S-O-H absent), and (iii) the"
"#   negative H->LNO surface-transfer screen (exchange proceeds via the Li+/H2O reservoir, not the oxide)."
"# ============================================================================"
"# INDEPENDENT RE-RUN VERIFICATION (2026-09-06, gabia kserver116-27, /data/work/runs/sdcp_li_rerun)"
"#   Why: the 2026-07-11 jobs ran on DESKTOP-K1BLBIJ and were never reproduced elsewhere."
"#   Same protocol (ORCA r2SCAN-3c Opt TightSCF, gas monomer, charge +1, neutral mult 1 / doped mult 2)."
"#   All 7 jobs ORCA TERMINATED NORMALLY. E(Li+) rerun = -7.281558176468 Eh (identical to the July ref)."
"#   site                    rerun E_bind (eV)   2026-07 CSV   diff (meV)"
"#   neutral SO3 O-O bident.     -2.5081           -2.508          -0.1"
"#   neutral side-chain ether    -2.8785           -2.878          -0.5"
"#   neutral EDOT O-O chelate    -1.6057           -1.606          +0.3"
"#   doped   SO3 O-O bident.     -3.2776           -3.278          +0.4"
"#   doped   side-chain ether    -2.9305           -2.930          -0.5"
"#   doped   EDOT O-O chelate    -3.3631           -3.363          -0.1"
"#   => all six reproduce within 0.5 meV on a different machine. The July numbers stand."
"#   WATCH-SCRIPT ARTIFACT: the chain driver logged '!!!!! FAIL doped_edot' while that job was still"
"#   running; the job then finished normally (6 h 01 m, ORCA TERMINATED NORMALLY, two FINAL SINGLE POINT"
"#   ENERGY lines 0.03 meV apart = last optimization step). The FAIL line is NOT a result -- do not"
"#   propagate it. Verified by grepping the .out directly, not by trusting the driver marker."
"# WHAT THIS RE-RUN DOES NOT ESTABLISH:"
"#   - It is a reproducibility check of OUR protocol, not a validation of the protocol itself"
"#     (still gas-phase monomer, 0 K, no counter-ion beyond the bare Li+, no solvent)."
"#   - It says nothing about the polaron/spin-localization campaign, which is a separate estimand."
