"# ndo-LPSCl1.6 n5fu (Nd@P control, frozen-4f) DOS/PDOS (states/eV), gap=2.1616 eV, Gaussian sigma=0.15 eV, EF=0, bonding=below 0"
E_minus_EF_eV,DOS_total,DOS_S,DOS_P,DOS_Cl,DOS_Li,DOS_O,DOS_Nd
-7.997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.247,0.0003,0.0001,0.0001,0.0000,0.0000,0.0002,0.0000
-7.237,0.0007,0.0001,0.0001,0.0000,0.0001,0.0003,0.0000
-7.227,0.0011,0.0002,0.0002,0.0000,0.0001,0.0006,0.0000
-7.217,0.0016,0.0003,0.0003,0.0000,0.0001,0.0008,0.0000
-7.207,0.0024,0.0004,0.0005,0.0000,0.0002,0.0013,0.0000
-7.197,0.0036,0.0006,0.0007,0.0000,0.0003,0.0019,0.0000
-7.187,0.0047,0.0008,0.0009,0.0000,0.0004,0.0025,0.0000
-7.177,0.0061,0.0010,0.0012,0.0000,0.0005,0.0032,0.0000
-7.167,0.0078,0.0013,0.0015,0.0000,0.0007,0.0042,0.0000
-7.157,0.0100,0.0017,0.0020,0.0001,0.0009,0.0054,0.0000
-7.147,0.0128,0.0022,0.0025,0.0001,0.0011,0.0068,0.0000
-7.137,0.0162,0.0027,0.0032,0.0001,0.0014,0.0087,0.0000
-7.127,0.0204,0.0034,0.0040,0.0001,0.0018,0.0109,0.0000
-7.117,0.0256,0.0043,0.0050,0.0001,0.0022,0.0137,0.0000
-7.107,0.0320,0.0054,0.0063,0.0002,0.0028,0.0172,0.0000
-7.097,0.0398,0.0067,0.0078,0.0002,0.0034,0.0213,0.0000
