# Derived summary of Cronk et al. Nat. Commun. 2026 17:3298 Source Data (xlsx: litdb/inbox/104. Sup1) Bai2026_source_data.xlsx; full transcription: litdb/inbox/104_source_data/*.csv, outside git).
# !! literature values (and digest derivations from them) — NOT Yonghoon-DEM-DFT calculations. Derived 2026-09-11 by litdb-curator for digest cronk2026_lis_cathode_interphase_chemistry.md.
quantity,panel,series,value,unit,method_note
Raman peak max: S-S bending E2,Fig. 2c - Ra,Elemental Sulfur,152.4,cm-1,max in 140-162; rel. height 0.608
Raman peak max: PS4 stretch,Fig. 2c - Ra,Elemental Sulfur,438.6,cm-1,max in 410-440; rel. height 0.039
Raman peak max: S-S bending E2,Fig. 2c - Ra,Mixed LPSCl/S,152.4,cm-1,max in 140-162; rel. height 0.609
Raman peak max: PS4 stretch,Fig. 2c - Ra,Mixed LPSCl/S,425.8,cm-1,max in 410-440; rel. height 0.307
Raman peak max: S-S bending E2,Fig. 2c - Ra,Milled LPSCl/S,152.4,cm-1,max in 140-162; rel. height 0.486
Raman peak max: PS4 stretch,Fig. 2c - Ra,Milled LPSCl/S,420.4,cm-1,max in 410-440; rel. height 0.070
Raman peak max: S-S bending E2,Fig. 2c - Ra,1 step milled electrode,149.1,cm-1,max in 140-162; rel. height 0.633
Raman peak max: PS4 stretch,Fig. 2c - Ra,1 step milled electrode,439.6,cm-1,max in 410-440; rel. height 0.091
Raman peak max: S-S bending E2,Fig. S4b - R,BM-10 hour,152.4,cm-1,max in 140-162; rel. height 0.488
Raman peak max: PS4 stretch,Fig. S4b - R,BM-10 hour,421.5,cm-1,max in 410-440; rel. height 0.068
Raman peak max: S-S bending E2,Fig. S4b - R,BM-1 hour,152.4,cm-1,max in 140-162; rel. height 0.486
Raman peak max: PS4 stretch,Fig. S4b - R,BM-1 hour,420.4,cm-1,max in 410-440; rel. height 0.070
Raman peak max: S-S bending E2,Fig. S4b - R,mixed S/LPSCl,152.4,cm-1,max in 140-162; rel. height 0.609
Raman peak max: PS4 stretch,Fig. S4b - R,mixed S/LPSCl,425.8,cm-1,max in 410-440; rel. height 0.307
Raman peak max: S-S bending E2,Fig. S4b - R,Sulfur,152.4,cm-1,max in 140-162; rel. height 0.608
Raman peak max: PS4 stretch,Fig. S4b - R,Sulfur,438.6,cm-1,max in 410-440; rel. height 0.039
Raman peak max: S-S bending E2,Fig. S4b - R,LPSCl,161.3,cm-1,max in 140-162; rel. height 0.015
Raman peak max: PS4 stretch,Fig. S4b - R,LPSCl,425.8,cm-1,max in 410-440; rel. height 0.778
Raman peak max: PS4 stretch,Fig. S4e - S,LPSCl BM-10 hour,422.1,cm-1,max in 410-440; rel. height 0.052
Raman peak max: PS4 stretch,Fig. S4e - S,LPSCl BM-1 hour,426.3,cm-1,max in 410-440; rel. height 0.517
Raman peak max: PS4 stretch,Fig. S4e - S,LPSCl,425.8,cm-1,max in 410-440; rel. height 0.778
Raman peak max: PS4 stretch,Fig. S10b - ,Pristine LPSCl,425.8,cm-1,max in 400-440; rel. height 0.816
Raman peak max: Li2S mode,Fig. S10b - ,Pristine LPSCl,373.5,cm-1,max in 355-385; rel. height 0.009
Raman peak max: PS4 stretch,Fig. S10b - ,Pristine Li2S,415.0,cm-1,max in 400-440; rel. height 0.037
Raman peak max: Li2S mode,Fig. S10b - ,Pristine Li2S,370.1,cm-1,max in 355-385; rel. height 0.265
Raman peak max: PS4 stretch,Fig. S10b - ,Mixed Li2S/LPSCl,425.7,cm-1,max in 400-440; rel. height 0.783
Raman peak max: Li2S mode,Fig. S10b - ,Mixed Li2S/LPSCl,371.2,cm-1,max in 355-385; rel. height 0.021
Raman peak max: PS4 stretch,Fig. S10b - ,Milled Li2S/LPSCl,420.4,cm-1,max in 400-440; rel. height 0.098
Raman peak max: Li2S mode,Fig. S10b - ,Milled Li2S/LPSCl,384.1,cm-1,max in 355-385; rel. height 0.052
